Date,Region,Daily confirmed,Daily probable,Daily deceased,Daily total cases,Cumulative confirmed,Cumulative probable,Cumulative deceased,Cumulative total cases
27/08/2020,Auckland,0,0,0,0,65,0,0,65
27/08/2020,Canterbury,0,0,0,0,15,0,0,15
27/08/2020,Counties Manukau,1,0,0,1,89,1,0,90
27/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
27/08/2020,Waikato,0,0,0,0,1,0,0,1
27/08/2020,Waitemata,5,0,0,5,30,0,0,30
26/08/2020,Auckland,3,0,0,3,65,0,0,65
26/08/2020,Canterbury,0,0,0,0,15,0,0,15
26/08/2020,Counties Manukau,0,0,0,0,88,1,0,89
26/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
26/08/2020,Waikato,0,0,0,0,1,0,0,1
26/08/2020,Waitemata,4,0,0,4,25,0,0,25
25/08/2020,Auckland,0,0,0,0,62,0,0,62
25/08/2020,Canterbury,1,0,0,1,15,0,0,15
25/08/2020,Counties Manukau,1,0,0,1,88,1,0,89
25/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
25/08/2020,Waikato,0,0,0,0,1,0,0,1
25/08/2020,Waitemata,2,0,0,2,21,0,0,21
24/08/2020,Auckland,3,0,0,3,62,0,0,62
24/08/2020,Canterbury,0,0,0,0,14,0,0,14
24/08/2020,Counties Manukau,2,0,0,2,87,1,0,88
24/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
24/08/2020,Waikato,0,0,0,0,1,0,0,1
24/08/2020,Waitemata,2,0,0,2,19,0,0,19
23/08/2020,Auckland,2,0,0,2,59,0,0,59
23/08/2020,Canterbury,0,0,0,0,14,0,0,14
23/08/2020,Counties Manukau,5,0,0,5,85,1,0,86
23/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
23/08/2020,Waikato,0,0,0,0,1,0,0,1
23/08/2020,Waitemata,1,0,0,1,17,0,0,17
22/08/2020,Auckland,2,0,0,2,57,0,0,57
22/08/2020,Canterbury,0,0,0,0,14,0,0,14
22/08/2020,Counties Manukau,1,0,0,1,80,1,0,81
22/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
22/08/2020,Waikato,0,0,0,0,1,0,0,1
22/08/2020,Waitemata,1,0,0,1,16,0,0,16
21/08/2020,Auckland,1,0,0,1,55,0,0,55
21/08/2020,Canterbury,0,0,0,0,14,0,0,14
21/08/2020,Counties Manukau,4,1,0,5,79,1,0,80
21/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
21/08/2020,Waikato,0,0,0,0,1,0,0,1
21/08/2020,Waitemata,1,0,0,1,15,0,0,15
20/08/2020,Auckland,1,0,0,1,54,0,0,54
20/08/2020,Canterbury,0,0,0,0,14,0,0,14
20/08/2020,Counties Manukau,5,0,0,5,75,0,0,75
20/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
20/08/2020,Waikato,0,0,0,0,1,0,0,1
20/08/2020,Waitemata,1,0,0,1,14,0,0,14
19/08/2020,Auckland,0,0,0,0,53,0,0,53
19/08/2020,Canterbury,0,0,0,0,14,0,0,14
19/08/2020,Counties Manukau,1,0,0,1,70,0,0,70
19/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
19/08/2020,Waikato,1,0,0,1,1,0,0,1
19/08/2020,Waitemata,3,0,0,3,13,0,0,13
18/08/2020,Auckland,5,0,0,5,53,0,0,53
18/08/2020,Canterbury,0,0,0,0,14,0,0,14
18/08/2020,Counties Manukau,5,0,0,5,69,0,0,69
18/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
18/08/2020,Waikato,0,0,0,0,0,0,0,0
18/08/2020,Waitemata,1,0,0,1,10,0,0,10
17/08/2020,Auckland,4,0,0,4,48,0,0,48
17/08/2020,Canterbury,0,0,0,0,14,0,0,14
17/08/2020,Counties Manukau,5,0,0,5,64,0,0,64
17/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
17/08/2020,Waikato,0,0,0,0,0,0,0,0
17/08/2020,Waitemata,0,0,0,0,9,0,0,9
16/08/2020,Auckland,8,0,0,8,44,0,0,44
16/08/2020,Canterbury,0,0,0,0,14,0,0,14
16/08/2020,Counties Manukau,4,0,0,4,59,0,0,59
16/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
16/08/2020,Waikato,0,0,0,0,0,0,0,0
16/08/2020,Waitemata,0,0,0,0,9,0,0,9
15/08/2020,Auckland,5,0,0,5,36,0,0,36
15/08/2020,Canterbury,0,0,0,0,14,0,0,14
15/08/2020,Counties Manukau,6,0,0,6,55,0,0,55
15/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
15/08/2020,Waikato,0,0,0,0,0,0,0,0
15/08/2020,Waitemata,3,0,0,3,9,0,0,9
14/08/2020,Auckland,4,0,0,4,31,0,0,31
14/08/2020,Canterbury,0,0,0,0,14,0,0,14
14/08/2020,Counties Manukau,1,0,0,1,49,0,0,49
14/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
14/08/2020,Waikato,0,0,0,0,0,0,0,0
14/08/2020,Waitemata,0,0,0,0,6,0,0,6
13/08/2020,Auckland,3,0,0,3,27,0,0,27
13/08/2020,Canterbury,0,0,0,0,14,0,0,14
13/08/2020,Counties Manukau,7,0,0,7,48,0,0,48
13/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
13/08/2020,Waikato,0,0,0,0,0,0,0,0
13/08/2020,Waitemata,2,0,0,2,6,0,0,6
12/08/2020,Auckland,1,0,0,1,24,0,0,24
12/08/2020,Canterbury,0,0,0,0,14,0,0,14
12/08/2020,Counties Manukau,10,0,0,10,41,0,0,41
12/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
12/08/2020,Waikato,0,0,0,0,0,0,0,0
12/08/2020,Waitemata,4,0,0,4,4,0,0,4
11/08/2020,Auckland,1,0,0,1,23,0,0,23
11/08/2020,Canterbury,0,0,0,0,14,0,0,14
11/08/2020,Counties Manukau,4,0,0,4,31,0,0,31
11/08/2020,Hutt Valley,0,0,0,0,2,0,0,2
11/08/2020,Waikato,0,0,0,0,0,0,0,0
11/08/2020,Waitemata,0,0,0,0,0,0,0,0
